"Nazwa produktu","Kod produktu","Product name (incl. combination)"
"Pędzel HKM w pojemniku duży czarny","6418.ST","Pędzel HKM w pojemniku duży czarny : KOLOR - czarny"
"Rękawica do mycia HKM fioletowa","65113500.ST","Rękawica do mycia HKM fioletowa : KOLOR - fioletowy"
"Gumki do grzywy HKM czarne","64339100.ST","Gumki do grzywy HKM czarne : KOLOR - czarny, ROZMIAR - 500 szt."
"Gumki do grzywy HKM w pudełku czarne","64209100.ST","Gumki do grzywy HKM w pudełku czarne : KOLOR - czarny, ROZMIAR - 500 szt."
"Szczotka do łba HKM mała profilowana mix kolor","65800141.ST","Szczotka do łba HKM mała profilowana mix kolor : KOLOR - kolor wybierany losowo"
"Zgrzebło plastikowe HKM owalne mix kolor","65770141.ST","Zgrzebło plastikowe HKM owalne mix kolor : KOLOR - wybierany losowo"
"Rękawica do mycia HKM niebieska","65116801.ST","Rękawica do mycia HKM niebieska : KOLOR - niebieski"
"Szczotkokopystka Ekkia Hippo-tonic seledynowo-czarna","700078008","Szczotkokopystka Ekkia Hippo-tonic seledynowo-czarna : KOLOR - seledynowy-czarny"
"Rękawica do mycia Kavalkade sizalowa","697010001100","Rękawica do mycia Kavalkade sizalowa"
"Szczotka Ekkia Magic Hippo-tonic z grzebykiem i gumkami czerwona","700121003","Szczotka Ekkia Magic Hippo-tonic z grzebykiem i gumkami czerwona : KOLOR - czerwony"
"Szczotka Ekkia Magic Hippo-tonic z grzebykiem i gumkami ciemnobłękitna","700121006","Szczotka Ekkia Magic Hippo-tonic z grzebykiem i gumkami ciemnobłękitna : KOLOR - ciemny-błękitny"
"Zgrzebło HKM z żelową rączką","70270141.ST","Zgrzebło HKM z żelową rączką : KOLOR - wybierany losowo"
"Szczotka Ekkia Magic Hippo-tonic z grzebykiem i gumkami czarna","700121002","Szczotka Ekkia Magic Hippo-tonic z grzebykiem i gumkami czarna : KOLOR - czarny"
"Szczotka do grzywy i ogona HKM z żelową rączką kolor wybierany losowo","70280141.ST","Szczotka do grzywy i ogona HKM z żelową rączką kolor wybierany losowo : KOLOR - wybierany losowo"
"Gumki do grzywy BR srebrne","741912-28","Gumki do grzywy BR srebrne : KOLOR - srebrny"
"Gumki silikonowe BR kolorowe","741100M023000","Gumki silikonowe BR kolorowe : KOLOR - multikolor, ROZMIAR - 500 szt."
"Szczotkokopystka HKM z żelową rączką","70290141.ST","Szczotkokopystka HKM z żelową rączką : KOLOR - wybierany losowo"
"Zgrzebło owalne HKM Horse shoe różowe","70373900.ST","Zgrzebło owalne HKM Horse shoe różowe : KOLOR - różowy"
"Gąbka BR multikolor","744911-00","Gąbka BR multikolor : KOLOR - wybierany losowo, ROZMIAR - 15 x 9 cm"
"Gumki-kokardki do zaplatania koreczków Waldhausen białe","7468502","Gumki-kokardki do zaplatania koreczków Waldhausen białe : KOLOR - biały"
"Gumki-kokardki do zaplatania koreczków Waldhausen czarne","7468501","Gumki-kokardki do zaplatania koreczków Waldhausen czarne : KOLOR - czarny"
"Gąbka BR okrągła niebieska","744900-00","Gąbka BR okrągła niebieska : KOLOR - niebieski, ROZMIAR - 9,5 cm"
"Zgrzebło Waldhausen metalowe czarne","815500","Zgrzebło Waldhausen metalowe czarne : KOLOR - czarny"
"Szczotkokopystka HKM mix kolor","80250141.ST","Szczotkokopystka HKM mix kolor : KOLOR - wybierany losowo"
"Zgrzebło-masażerka z magnesami HKM mix kolor","96180141.0001","Zgrzebło-masażerka z magnesami HKM mix kolor : KOLOR - wybierany losowo"
"Szczotka HKM Wonder Brush kolor wybierany losowo","86140141.ST","Szczotka HKM Wonder Brush kolor wybierany losowo : KOLOR - wybierany losowo, ROZMIAR - 17 cm"
"Szczotka do psa Magic Brush Blue Sky niebieska","81901","Szczotka do psa Magic Brush Blue Sky niebieska : KOLOR - niebieski"
"Szczotka do psa Magic Brush Wild Rose bordowa","81942","Szczotka do psa Magic Brush Wild Rose bordowa : KOLOR - bordowy"
