"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod produktu";"Kod kreskowy EAN-13 lub JAN";"Ilość";"Attribute KOLOR";"Attribute ROZMIAR";"Kod referencyjny kombinacji";"Kod kreskowy EAN-13 lub JAN kombinacji"
"10868";"Bryczesy damskie z silikonem Horze Angelina granatowe";"36617-VDB-36";"6438433048018";"1";"granatowy";"38";"36617-VDB-38";"6438433048025"
"10868";"Bryczesy damskie z silikonem Horze Angelina granatowe";"36617-VDB-36";"6438433048018";"1";"granatowy";"34";"36617-VDB-34";"6438433048001"
"10868";"Bryczesy damskie z silikonem Horze Angelina granatowe";"36617-VDB-36";"6438433048018";"4";"granatowy";"40";"36617-VDB-40";"6438433048032"
"10868";"Bryczesy damskie z silikonem Horze Angelina granatowe";"36617-VDB-36";"6438433048018";"0";"granatowy";"42";"36617-VDB-42";"6438433048049"
"10868";"Bryczesy damskie z silikonem Horze Angelina granatowe";"36617-VDB-36";"6438433048018";"0";"granatowy";"44";"36617-VDB-44";"6438433048056"
"10868";"Bryczesy damskie z silikonem Horze Angelina granatowe";"36617-VDB-36";"6438433048018";"1";"granatowy";"46";"36617-VDB-46";"6438433094541"
"10874";"Wędzidło z ruchomymi kółkami Kavalkade miękkie";"BE10234-7,5-120-12S";"5901646951976";"1";"";"12 cm";"BE10234-7,5-120-12S";"5901646951976"
"10876";"Bryczesy damskie z silikonem Horze Emelia bordowe";"36623-PDRE-38";"6438433046557";"1";"bordowy";"38";"36623-PDRE-38";"6438433046557"
"10876";"Bryczesy damskie z silikonem Horze Emelia bordowe";"36623-PDRE-38";"6438433046557";"1";"bordowy";"34";"36623-PDRE-34";"6438433046533"
"10876";"Bryczesy damskie z silikonem Horze Emelia bordowe";"36623-PDRE-38";"6438433046557";"0";"bordowy";"36";"36623-PDRE-36";"6438433046540"
"10877";"Bryczesy damskie z silikonem Horze Emelia czarne";"36623-BL-40";"6438433046502";"2";"czarny";"40";"36623-BL-40";"6438433046502"
"10877";"Bryczesy damskie z silikonem Horze Emelia czarne";"36623-BL-40";"6438433046502";"0";"czarny";"34";"36623-BL-34";"6438433046472"
"10877";"Bryczesy damskie z silikonem Horze Emelia czarne";"36623-BL-40";"6438433046502";"0";"czarny";"38";"36623-BL-38";"6438433046496"
"10877";"Bryczesy damskie z silikonem Horze Emelia czarne";"36623-BL-40";"6438433046502";"2";"czarny";"36";"36623-BL-36";"6438433046489"
"10877";"Bryczesy damskie z silikonem Horze Emelia czarne";"36623-BL-40";"6438433046502";"1";"czarny";"42";"36623-BL-42";"6438433046519"
"10878";"Bryczesy damskie z silikonem Horze Desiree oliwkowe";"36605-LDGR-38";"6438433046670";"0";"oliwkowy";"38";"36605-LDGR-38";"6438433046670"
"10878";"Bryczesy damskie z silikonem Horze Desiree oliwkowe";"36605-LDGR-38";"6438433046670";"0";"oliwkowy";"40";"36605-LDGR-40";"6438433046687"
"10878";"Bryczesy damskie z silikonem Horze Desiree oliwkowe";"36605-LDGR-38";"6438433046670";"1";"oliwkowy";"34";"36605-LDGR-34";"6438433046656"
"10878";"Bryczesy damskie z silikonem Horze Desiree oliwkowe";"36605-LDGR-38";"6438433046670";"0";"oliwkowy";"36";"36605-LDGR-36";"6438433046663"
"10878";"Bryczesy damskie z silikonem Horze Desiree oliwkowe";"36605-LDGR-38";"6438433046670";"0";"oliwkowy";"42";"36605-LDGR-42";"6438433046694"
"10880";"Bryczesy damskie z silikonem Horze Hayden czarne";"36635-BL-44";"6438433089165";"1";"czarny";"44";"36635-BL-44";"6438433089165"
"10880";"Bryczesy damskie z silikonem Horze Hayden czarne";"36635-BL-44";"6438433089165";"0";"czarny";"36";"36635-BL-36";"6438433089127"
"10880";"Bryczesy damskie z silikonem Horze Hayden czarne";"36635-BL-44";"6438433089165";"1";"czarny";"42";"36635-BL-42";"6438433089158"
"10880";"Bryczesy damskie z silikonem Horze Hayden czarne";"36635-BL-44";"6438433089165";"0";"czarny";"40";"36635-BL-40";"6438433089141"
"10880";"Bryczesy damskie z silikonem Horze Hayden czarne";"36635-BL-44";"6438433089165";"2";"czarny";"34";"36635-BL-34";"6438433089110"
"10880";"Bryczesy damskie z silikonem Horze Hayden czarne";"36635-BL-44";"6438433089165";"0";"czarny";"38";"36635-BL-38";"6438433089134"
"10882";"Legginsy młodzieżowe z silikonem Horze Active ciemnoróżowe";"36090-SBPI/PDRE-140";"6438433048513";"1";"ciemnoróżowy";"140 cm";"36090-SBPI/PDRE-140";"6438433048513"
