"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod referencyjny kombinacji";"Kod kreskowy EAN-13 lub JAN kombinacji";"Ilość";"Attribute KOLOR";"Attribute ROZMIAR"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR L";"5901646944862";"1";"brązowy";"L"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR MXXX";"5901646944916";"4";"brązowy";"MXXX"
"149";"Chapsy Elastic Hippica Brąz";"CHAPSY ELASTIC BR SXXX";"5901646944954";"0";"brązowy";"SXXX"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ L";"5901646945043";"3";"czarny";"L"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ LX";"5901646945050";"2";"czarny";"LX"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ LXX";"5901646945067";"2";"czarny";"LXX"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ LXXX";"5901646945074";"0";"czarny";"LXXX"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ M";"5901646945098";"4";"czarny";"M"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ MX";"5901646945104";"2";"czarny";"MX"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ MXX";"5901646945111";"1";"czarny";"MXX"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ MXXX";"5901646945128";"2";"czarny";"MXXX"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ S";"5901646945135";"2";"czarny";"S"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ SX";"5901646945142";"4";"czarny";"SX"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ SXX";"5901646945159";"3";"czarny";"SXX"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ SXXX";"5901646945166";"1";"czarny";"SXXX"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ XL";"5901646945173";"3";"czarny";"XL"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ XM";"5901646945180";"5";"czarny";"XM"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ XS";"5901646945197";"3";"czarny";"XS"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ XXL";"5901646945203";"2";"czarny";"XXL"
"150";"Chapsy Elastic Hippica Czarne";"CHAPSY ELASTIC CZ XXM";"5901646945210";"2";"czarny";"XXM"
