id_product;name;reference;price;active;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"146";"Buty gumowe Waldhausen Sparkle różowe z brokatem";"6187038-34";"65.040650";"0";"Pegaz";"1";"21532";"Buty gumowe";"0";"0";"";"0";"1";
"147";"Buty stajenne HKM Classic kratka";"34396982-32";"44.715447";"0";"Pegaz";"1";"21803";"Buty stajenne";"0";"0";"";"0";"1";
"152";"Chapsy oficerkowe czarne eco Hippica";"CHAPSY OFIC. ECO CZ 37/33";"145.528455";"0";"Pegaz";"1";"21537";"Chapsy syntetyczne";"0";"0";"";"0";"1";
"156";"Czapsy Windsor Hippica czarne";"CHAPSY WINDSOR CZ L";"325.203252";"0";"Pegaz";"1";"21541";"Czapsy skórzane licowe";"0";"0";"";"0";"1";
"157";"Chapsy Wlkp. czarne";"CH. WLKP. CZAR. L";"96.747967";"0";"Pegaz";"1";"";"Czapsy skórzane zamszowe";"0";"0";"";"0";"1";
"158";"Chusta HKM kolorowe konie";"4537";"39.837398";"0";"Pegaz";"1";"21806";"Szaliki / apaszki";"0";"0";"";"0";"1";
"161";"Czapka HKM z pomponem różowa";"78053800";"59.349593";"0";"Pegaz";"1";"";"Czapki zimowe";"0";"0";"";"0";"1";
"162";"Czapka Pikeur cienka czarna";"00933-MUTZE 1263-55";"85.365854";"0";"Pegaz";"1";"28616";"Czapki zimowe";"0";"0";"";"0";"1";
"163";"Czapka Pikeur cienka granatowa";"00936-MUTZE 1265/57";"85.365854";"0";"Pegaz";"1";"";"Czapki zimowe";"0";"0";"";"0";"1";
"164";"Czapka Pikeur klasyczna antracytowa";"antr";"93.495935";"0";"Pegaz";"1";"28619";"Czapki zimowe";"0";"0";"";"0";"1";
"165";"Czapka Pikeur klasyczna granatowa";"00942-MUTZE 1332-57";"51.219512";"0";"Pegaz";"1";"28620";"Czapki zimowe";"0";"0";"";"0";"1";
"168";"Czapka Pikeur turkusowa";"00948-MUTZE 1890/53-55-57";"56.097561";"0";"Pegaz";"1";"28625";"Czapki zimowe";"0";"0";"";"0";"1";
"169";"Czapka termoaktywna Galla różowa";"0004154 RÓŻ";"40.650407";"0";"Pegaz";"1";"26006";"Czapki zimowe";"0";"0";"";"0";"1";
"170";"Czapka uszatka Horze biała";"31048-WH-M";"47.967480";"0";"Pegaz";"1";"21547";"Czapki zimowe";"0";"0";"";"0";"1";
"171";"Czapka uszatka Horze brązowa";"31048-CBR-S";"47.967480";"0";"Pegaz";"1";"21815";"Czapki zimowe";"0";"0";"";"0";"1";
"172";"Czapka uszatka Pikeur brązowa";"00957-FLIEGERMUTZE 1761-55";"96.747967";"0";"Pegaz";"1";"28627";"Czapki zimowe";"0";"0";"";"0";"1";
"173";"Czapka uszatka Pikeur ecru";"00958-FLIEGERMUTZE 1760-55";"96.747967";"0";"Pegaz";"1";"28633";"Czapki zimowe";"0";"0";"";"0";"1";
"175";"Czapsy Elastic Glamour czarne";"2140601-M";"97.560976";"0";"Pegaz";"1";"21552";"Chapsy syntetyczne";"0";"0";"";"0";"1";
"178";"Czapsy Emily JR Horze antracyt";"37236-DLB-M";"81.300813";"0";"Pegaz";"1";"21554";"Chapsy syntetyczne";"0";"0";"";"0";"1";
